jpさん,ジェーピーサン
BestPaper,ベストペーパー
forUbuntu,フォーウブントゥ
BestPaper,ベストペーパー
deepar,ディープアル
art.i,アルティーアイ
Mem,ミメートル
mN2,メートルエヌツー
人が残り,ジンガノコリ
残りポスター,ノコリポスター
日程参加,ニッテイサンカ
大前研一さん,オオマエケンイチサン
規模機械学習,キボキカイガクシュウ
データマイニング活用,データマイニングカツヨウ
サービス開発,サービスカイハツ
あと数,アトスウ
数回,スウカイ
回放映,カイホウエイ
Networkswith,ネットワークスウィズ
forScene,フォーシーン
toa,トゥアール
Answering,アンサーアイエヌジー
forComputer,フォーコンピューター
withDeep,ウィズディープ
fora,フォーアール
MicrosoftResearch,マイクロソフトリサーチ
Reasoning,ノーズンアイエヌジー
LanguageUnderstanding,センゴヒャクサンジュウゴマンロッピャクロクジュウゴゼロゼロキュウナナマンハチゴゼロナナアンダースタンディング
Understandingand,アンダースタンディングアンド
andInter,アンドインテル
Interaction,インテルアクション
Networksas,ネットワークスアズ
inTime,インタイム
marginDeep,マージンディープ
Networksfor,ネットワークスフォー
LanguageProcessing,センゴヒャクサンジュウゴマンロッピャクロクジュウゴゼロゼロキュウナナマンハチゴゼロナナプロセシング
theGap,ザギャップ
withDeep,ウィズディープ
丸山宏さん,マルヤマヒロシサン
forDeep,フォーディープ
GoogleTensorFlow,グーグルテンソーフロー
Open Source SoftwareLibrary,オープンソースソフトウェアライブラリー
Libraryfor,ライブラリーフォー
onthe path,オンザパス
the pathto,ザパストゥ
toAI,トゥアイ
andlove,アンドラブ
isa,アイエスアール
networkthat,ネットワークザット
一緒にぜひ,イッショニゼヒ
Networksfor,ネットワークスフォー
回データマイニング,カイデータマイニング
機械学習方法論,キカイガクシュウホウホウロン
方法論祭り,ホウホウロンマツリ
開催まとめ,カイサイマトメ
機械学習数理,キカイガクシュウスウリ
過程マルコフ,カテイマルコフ
マルコフ確率,マルコフカクリツ
確率場,カクリツジョウ
徹底入門,テッテイニュウモン
深層学習,シンソウガクシュウ
学習ライブラリ,ガクシュウライブラリ
ライブラリ最新,ライブラリサイシン
最新状況,サイシンジョウキョウ
開催内容,カイサイナイヨウ
回データマイニング,カイデータマイニング
機械学習方法論,キカイガクシュウホウホウロン
方法論祭り,ホウホウロンマツリ
オープンデータ統合,オープンデータトウゴウ
統合プラットフォーム,トウゴウプラットフォーム
会場参加者,カイジョウサンカシャ
参加者ID,サンカシャアイディー
バックグラウンド一覧,バックグラウンドイチラン
会場準備,カイジョウジュンビ
準備完了,ジュンビカンリョウ
FreakOutさん,フリークアウトサン
会場提供,カイジョウテイキョウ
運営ボランティア,ウンエイボランティア
進行方針,シンコウホウシン
時開始,ジカイシ
回データマイニング,カイデータマイニング
機械学習方法論,キカイガクシュウホウホウロン
方法論祭り,ホウホウロンマツリ
六本木FreakOut,ロッポンギフリークアウト
UST配信,ユーエスティーハイシン
機械学習方法論,キカイガクシュウホウホウロン
方法論祭り,ホウホウロンマツリ
六本木FreakOut,ロッポンギフリークアウト
UST配信,ユーエスティーハイシン
回データマイニング,カイデータマイニング
会場参加,カイジョウサンカ
forDeep,フォーディープ
2015年10月,ニセンジュウゴネンジュウガツ
Techサービス,テックサービス
回データマイニング,カイデータマイニング
六本木FreakOut,ロッポンギフリークアウト
回目,カイメ
会場参加,カイジョウサンカ
参加募集,サンカボシュウ
